Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-06-29 22:18:51,2021-06-29 22:18:57,5.421s,PASSED
maximizeWindow(),Chrome 91.0.4472.124,,,2021-06-29 22:18:57,2021-06-29 22:18:57,0.421s,PASSED
"navigateToUrl(""https://dashboard.pawoon.com/login"")",Chrome 91.0.4472.124,,,2021-06-29 22:18:57,2021-06-29 22:19:03,5.878s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS - My Pawoon v2 - Login/Daftar sekarang""))",Chrome 91.0.4472.124,,,2021-06-29 22:19:03,2021-06-29 22:19:05,2.232s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_Namalengkap""), ""Renaldo Pontoh"")",Chrome 91.0.4472.124,,,2021-06-29 22:19:05,2021-06-29 22:19:06,0.965s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_email""), ""b"")",Chrome 91.0.4472.124,,,2021-06-29 22:19:06,2021-06-29 22:19:07,0.620s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_phone_number""), ""081211336018"")",Chrome 91.0.4472.124,,,2021-06-29 22:19:07,2021-06-29 22:19:08,0.910s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_password""), ""123456"")",Chrome 91.0.4472.124,,,2021-06-29 22:19:08,2021-06-29 22:19:09,0.653s,PASSED
"verifyElementNotChecked(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""), 2)",Chrome 91.0.4472.124,,,2021-06-29 22:19:09,2021-06-29 22:19:09,0.550s,PASSED
"check(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""))",Chrome 91.0.4472.124,,,2021-06-29 22:19:09,2021-06-29 22:19:10,0.798s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS/Page_Pawoon POS/button_Lanjutkan1""))",Chrome 91.0.4472.124,,,2021-06-29 22:19:10,2021-06-29 22:19:11,0.690s,PASSED
"verifyElementPresent(findTestObject(""Pawoon/informasi bisnis page/Page_Pawoon POS/teks_Informasi Bisnis""), 0)",Chrome 91.0.4472.124,,,2021-06-29 22:19:11,2021-06-29 22:19:12,0.935s,PASSED
delay(2),Chrome 91.0.4472.124,,,2021-06-29 22:19:12,2021-06-29 22:19:14,2.008s,PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-06-29 22:19:14,2021-06-29 22:19:15,1.574s,PASSED
