Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Pawoon/informasi bisnis page/Page_Pawoon POS/teks_Informasi Bisnis""), 0)",Chrome 91.0.4472.124,,,2021-06-29 21:52:19,2021-06-29 21:52:21,2.442s,PASSED
delay(2),Chrome 91.0.4472.124,,,2021-06-29 21:52:21,2021-06-29 21:52:23,2.018s,PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-06-29 21:52:23,2021-06-29 21:52:25,1.587s,PASSED
,,,,,,,
Test Cases/Daftar Akun Page/Verify Nama Lengkap minimum character,Chrome 91.0.4472.124,,,2021-06-29 21:52:25,2021-06-29 21:52:54,29.177s,PASSED
"openBrowser("""")",Chrome 91.0.4472.124,,,2021-06-29 21:52:26,2021-06-29 21:52:32,6.472s,PASSED
maximizeWindow(),Chrome 91.0.4472.124,,,2021-06-29 21:52:32,2021-06-29 21:52:33,0.332s,PASSED
"navigateToUrl(""https://dashboard.pawoon.com/login"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:33,2021-06-29 21:52:38,5.253s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS - My Pawoon v2 - Login/Daftar sekarang""))",Chrome 91.0.4472.124,,,2021-06-29 21:52:38,2021-06-29 21:52:42,3.545s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_Namalengkap""), ""Renaldo Pontohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:42,2021-06-29 21:52:43,1.859s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_email""), ""bangdado09@gmail.com"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:43,2021-06-29 21:52:44,0.857s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_phone_number""), ""081211336018"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:44,2021-06-29 21:52:45,0.725s,PASSED
"sendKeys(findTestObject(""Pawoon/Page_Pawoon POS/input_password""), ""123456"")",Chrome 91.0.4472.124,,,2021-06-29 21:52:45,2021-06-29 21:52:46,0.769s,PASSED
"verifyElementNotChecked(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""), 2)",Chrome 91.0.4472.124,,,2021-06-29 21:52:46,2021-06-29 21:52:47,0.781s,PASSED
"check(findTestObject(""Pawoon/Page_Pawoon POS/checkbox_agreement""))",Chrome 91.0.4472.124,,,2021-06-29 21:52:47,2021-06-29 21:52:48,1.406s,PASSED
"click(findTestObject(""Pawoon/Page_Pawoon POS/Page_Pawoon POS/button_Lanjutkan1""))",Chrome 91.0.4472.124,,,2021-06-29 21:52:48,2021-06-29 21:52:49,0.795s,PASSED
"verifyElementPresent(findTestObject(""Pawoon/informasi bisnis page/Page_Pawoon POS/teks_Informasi Bisnis""), 0)",Chrome 91.0.4472.124,,,2021-06-29 21:52:49,2021-06-29 21:52:50,1.424s,PASSED
delay(2),Chrome 91.0.4472.124,,,2021-06-29 21:52:50,2021-06-29 21:52:52,2.013s,PASSED
closeBrowser(),Chrome 91.0.4472.124,,,2021-06-29 21:52:52,2021-06-29 21:52:54,1.765s,PASSED
